  1856.0417;  1445; 0;000
  1856.1250;  1445; 0;000
  1856.2083;  1390; 0;000
  1856.2917;  1436; 0;000
  1856.3750;  1490; 0;000
  1856.4583;  1369; 0;000
  1856.5417;  1417; 0;000
  1856.6250;  1451; 0;000
  1856.7083;  1402; 0;000
  1856.7917;  1378; 0;000
  1856.8750;  1402; 0;000
  1856.9583;  1433; 0;000
  1857.0417;  1445; 0;000
  1857.1250;  1408; 0;000
  1857.2083;  1433; 0;000
  1857.2917;  1451; 0;000
  1857.3750;  1521; 0;000
  1857.4583;  1512; 0;000
  1857.5417;  1466; 0;000
  1857.6250;  1487; 0;000
  1857.7083;  1469; 0;000
  1857.7917;  1408; 0;000
  1857.8750;  1442; 0;000
  1857.9583;  1448; 0;000
  1858.0417;  1466; 0;000
  1858.1250;  1420; 0;000
  1858.2083;  1414; 0;000
  1858.2917;  1411; 0;000
  1858.3750;  1457; 0;000
  1858.4583;  1490; 0;000
  1858.5417;  1454; 0;000
  1858.6250;  1399; 0;000
  1858.7083;  1387; 0;000
  1858.7917;  1329; 0;000
  1858.8750;  1417; 0;000
  1858.9583;  1445; 0;000
  1859.0417;  1448; 0;000
  1859.1250;  1436; 0;000
  1859.2083;  1439; 0;000
  1859.2917;  1445; 0;000
  1859.3750;  1506; 0;000
  1859.4583;  1460; 0;000
  1859.5417;  1487; 0;000
  1859.6250;  1500; 0;000
  1859.7083;  1451; 0;000
  1859.7917;  1414; 0;000
  1859.8750;  1426; 0;000
  1859.9583;  1484; 0;000
  1860.0417;  1451; 0;000
  1860.1250;  1439; 0;000
  1860.2083;  1408; 0;000
  1860.2917;  1436; 0;000
  1860.3750;  1472; 0;000
  1860.4583;  1494; 0;000
  1860.5417;  1445; 0;000
  1860.6250;  1451; 0;000
  1860.7083;  1414; 0;000
  1860.7917;  1390; 0;000
  1860.8750;  1384; 0;000
  1860.9583;  1426; 0;000
  1861.0417;-99999;00;000
  1861.1250;-99999;00;000
  1861.2083;-99999;00;000
  1861.2917;-99999;00;000
  1861.3750;-99999;00;000
  1861.4583;-99999;00;000
  1861.5417;-99999;00;000
  1861.6250;-99999;00;000
  1861.7083;-99999;00;000
  1861.7917;-99999;00;000
  1861.8750;-99999;00;000
  1861.9583;-99999;00;000
  1862.0417;  1399; 0;000
  1862.1250;  1387; 0;000
  1862.2083;  1423; 0;000
  1862.2917;  1448; 0;000
  1862.3750;  1503; 0;000
  1862.4583;  1481; 0;000
  1862.5417;  1490; 0;000
  1862.6250;  1448; 0;000
  1862.7083;  1408; 0;000
  1862.7917;  1347; 0;000
  1862.8750;  1417; 0;000
  1862.9583;  1439; 0;000
  1863.0417;  1381; 0;000
  1863.1250;  1344; 0;000
  1863.2083;  1381; 0;000
  1863.2917;  1466; 0;000
  1863.3750;  1515; 0;000
  1863.4583;  1460; 0;000
  1863.5417;  1490; 0;000
  1863.6250;  1463; 0;000
  1863.7083;  1472; 0;000
  1863.7917;  1518; 0;000
  1863.8750;  1393; 0;000
  1863.9583;  1308; 0;000
  1864.0417;  1195; 0;000
  1864.1250;  1280; 0;000
  1864.2083;  1457; 0;000
  1864.2917;  1591; 0;000
  1864.3750;  1515; 0;000
  1864.4583;  1390; 0;000
  1864.5417;  1433; 0;000
  1864.6250;  1494; 0;000
  1864.7083;  1512; 0;000
  1864.7917;  1606; 0;000
  1864.8750;  1405; 0;000
  1864.9583;  1372; 0;000
  1865.0417;  1298; 0;000
  1865.1250;  1387; 0;000
  1865.2083;  1359; 0;000
  1865.2917;  1378; 0;000
  1865.3750;  1509; 0;000
  1865.4583;  1469; 0;000
  1865.5417;  1280; 0;000
  1865.6250;  1420; 0;000
  1865.7083;  1451; 0;000
  1865.7917;  1420; 0;000
  1865.8750;  1420; 0;000
  1865.9583;  1390; 0;000
  1866.0417;  1347; 0;000
  1866.1250;  1256; 0;000
  1866.2083;  1262; 0;000
  1866.2917;  1369; 0;000
  1866.3750;  1439; 0;000
  1866.4583;  1469; 0;000
  1866.5417;  1481; 0;000
  1866.6250;  1475; 0;000
  1866.7083;  1472; 0;000
  1866.7917;  1585; 0;000
  1866.8750;  1445; 0;000
  1866.9583;  1323; 0;000
  1867.0417;  1457; 0;000
  1867.1250;  1317; 0;000
  1867.2083;  1494; 0;000
  1867.2917;  1399; 0;000
  1867.3750;  1478; 0;000
  1867.4583;  1469; 0;000
  1867.5417;  1622; 0;000
  1867.6250;  1469; 0;000
  1867.7083;  1475; 0;000
  1867.7917;  1494; 0;000
  1867.8750;  1393; 0;000
  1867.9583;  1366; 0;000
  1868.0417;  1359; 0;000
  1868.1250;  1271; 0;000
  1868.2083;  1338; 0;000
  1868.2917;  1487; 0;000
  1868.3750;  1701; 0;000
  1868.4583;  1521; 0;000
  1868.5417;  1530; 0;000
  1868.6250;  1445; 0;000
  1868.7083;  1554; 0;000
  1868.7917;  1509; 0;000
  1868.8750;  1484; 0;000
  1868.9583;  1311; 0;000
  1869.0417;  1381; 0;000
  1869.1250;  1323; 0;000
  1869.2083;  1335; 0;000
  1869.2917;  1417; 0;000
  1869.3750;  1506; 0;000
  1869.4583;  1439; 0;000
  1869.5417;  1457; 0;000
  1869.6250;  1469; 0;000
  1869.7083;  1481; 0;000
  1869.7917;  1494; 0;000
  1869.8750;  1414; 0;000
  1869.9583;  1433; 0;000
  1870.0417;  1366; 0;000
  1870.1250;  1475; 0;000
  1870.2083;  1542; 0;000
  1870.2917;  1612; 0;000
  1870.3750;  1536; 0;000
  1870.4583;  1518; 0;000
  1870.5417;  1515; 0;000
